local,marcador,ronda,temporada,visitante
Arsenal,0 - 0,23,2021/2022,Burnley
Crystal Palace,1 - 3,23,2021/2022,Liverpool
Leicester,1 - 1,23,2021/2022,Brighton
Chelsea,2 - 0,23,2021/2022,Tottenham
Burnley,0 - 0,17,2021/2022,Watford
Newcastle,3 - 1,24,2021/2022,Everton
West Ham,1 - 0,24,2021/2022,Watford
Burnley,1 - 1,24,2021/2022,Man United
Man City,2 - 0,24,2021/2022,Brentford
Norwich,1 - 1,24,2021/2022,Crystal Palace
Tottenham,2 - 3,24,2021/2022,Southampton
Aston Villa,3 - 3,24,2021/2022,Leeds
Liverpool,2 - 0,24,2021/2022,Leicester
Wolves,0 - 1,24,2021/2022,Arsenal
Man United,1 - 1,25,2021/2022,Southampton
Brentford,0 - 0,25,2021/2022,Crystal Palace
Everton,3 - 0,25,2021/2022,Leeds
Watford,0 - 2,25,2021/2022,Brighton
Norwich,0 - 4,25,2021/2022,Man City
Burnley,0 - 1,25,2021/2022,Liverpool
Newcastle,1 - 0,25,2021/2022,Aston Villa
Tottenham,0 - 2,25,2021/2022,Wolves
Leicester,2 - 2,25,2021/2022,West Ham
Man United,2 - 0,18,2021/2022,Brighton
West Ham,1 - 1,26,2021/2022,Newcastle
Arsenal,2 - 1,26,2021/2022,Brentford
Aston Villa,0 - 1,26,2021/2022,Watford
Brighton,0 - 3,26,2021/2022,Burnley
Crystal Palace,0 - 1,26,2021/2022,Chelsea
Liverpool,3 - 1,26,2021/2022,Norwich
Southampton,2 - 0,26,2021/2022,Everton
Man City,2 - 3,26,2021/2022,Tottenham
Leeds,2 - 4,26,2021/2022,Man United
Wolves,2 - 1,26,2021/2022,Leicester
Burnley,1 - 0,13,2021/2022,Tottenham
Watford,1 - 4,18,2021/2022,Crystal Palace
Liverpool,6 - 0,19,2021/2022,Leeds
Arsenal,2 - 1,20,2021/2022,Wolves
Southampton,2 - 0,27,2021/2022,Norwich
Leeds,0 - 4,27,2021/2022,Tottenham
Brentford,0 - 2,27,2021/2022,Newcastle
Crystal Palace,1 - 1,27,2021/2022,Burnley
Man United,0 - 0,27,2021/2022,Watford
Brighton,0 - 2,27,2021/2022,Aston Villa
Everton,0 - 1,27,2021/2022,Man City
West Ham,1 - 0,27,2021/2022,Wolves
Burnley,0 - 2,22,2021/2022,Leicester
Leicester,1 - 0,28,2021/2022,Leeds
Aston Villa,4 - 0,28,2021/2022,Southampton
Burnley,0 - 4,28,2021/2022,Chelsea
Newcastle,2 - 1,28,2021/2022,Brighton
Norwich,1 - 3,28,2021/2022,Brentford
Wolves,0 - 2,28,2021/2022,Crystal Palace
Liverpool,1 - 0,28,2021/2022,West Ham
Watford,2 - 3,28,2021/2022,Arsenal
Man City,4 - 1,28,2021/2022,Man United
Tottenham,5 - 0,28,2021/2022,Everton
Norwich,1 - 3,30,2021/2022,Chelsea
Southampton,1 - 2,21,2021/2022,Newcastle
Wolves,4 - 0,19,2021/2022,Watford
Leeds,0 - 3,20,2021/2022,Aston Villa
Brighton,0 - 2,29,2021/2022,Liverpool
Brentford,2 - 0,29,2021/2022,Burnley
Man United,3 - 2,29,2021/2022,Tottenham
Chelsea,1 - 0,29,2021/2022,Newcastle
Everton,0 - 1,29,2021/2022,Wolves
Leeds,2 - 1,29,2021/2022,Norwich
Southampton,1 - 2,29,2021/2022,Watford
West Ham,2 - 1,29,2021/2022,Aston Villa
Arsenal,2 - 0,29,2021/2022,Leicester
Crystal Palace,0 - 0,29,2021/2022,Man City
Brighton,0 - 2,16,2021/2022,Tottenham
Arsenal,0 - 2,27,2021/2022,Liverpool
Everton,1 - 0,20,2021/2022,Newcastle
Wolves,2 - 3,30,2021/2022,Leeds
Aston Villa,0 - 1,30,2021/2022,Arsenal
Leicester,2 - 1,30,2021/2022,Brentford
Tottenham,3 - 1,30,2021/2022,West Ham
Liverpool,2 - 0,31,2021/2022,Watford
Brighton,0 - 0,31,2021/2022,Norwich
Burnley,0 - 2,31,2021/2022,Man City
Chelsea,1 - 4,31,2021/2022,Brentford
Leeds,1 - 1,31,2021/2022,Southampton
Wolves,2 - 1,31,2021/2022,Aston Villa
Man United,1 - 1,31,2021/2022,Leicester
West Ham,2 - 1,31,2021/2022,Everton
Tottenham,5 - 1,31,2021/2022,Newcastle
Crystal Palace,3 - 0,31,2021/2022,Arsenal
Burnley,3 - 2,19,2021/2022,Everton
Newcastle,1 - 0,32,2021/2022,Wolves
Everton,1 - 0,32,2021/2022,Man United
Arsenal,1 - 2,32,2021/2022,Brighton
Southampton,0 - 6,32,2021/2022,Chelsea
Watford,0 - 3,32,2021/2022,Leeds
Aston Villa,0 - 4,32,2021/2022,Tottenham
Brentford,2 - 0,32,2021/2022,West Ham
Leicester,2 - 1,32,2021/2022,Crystal Palace
Norwich,2 - 0,32,2021/2022,Burnley
Man City,2 - 2,32,2021/2022,Liverpool
Tottenham,0 - 1,33,2021/2022,Brighton
Man United,3 - 2,33,2021/2022,Norwich
Southampton,1 - 0,33,2021/2022,Arsenal
Watford,1 - 2,33,2021/2022,Brentford
Newcastle,2 - 1,33,2021/2022,Leicester
West Ham,1 - 1,33,2021/2022,Burnley
Liverpool,4 - 0,30,2021/2022,Man United
Chelsea,2 - 4,25,2021/2022,Arsenal
Everton,1 - 1,18,2021/2022,Leicester
Newcastle,1 - 0,30,2021/2022,Crystal Palace
Man City,3 - 0,30,2021/2022,Brighton
Burnley,2 - 0,30,2021/2022,Southampton
Arsenal,3 - 1,34,2021/2022,Man United
Leicester,0 - 0,34,2021/2022,Aston Villa
Man City,5 - 1,34,2021/2022,Watford
Norwich,0 - 3,34,2021/2022,Newcastle
Brentford,0 - 0,34,2021/2022,Tottenham
Brighton,2 - 2,34,2021/2022,Southampton
Burnley,1 - 0,34,2021/2022,Wolves
Chelsea,1 - 0,34,2021/2022,West Ham
Liverpool,2 - 0,34,2021/2022,Everton
Crystal Palace,0 - 0,34,2021/2022,Leeds
Man United,1 - 1,37,2021/2022,Chelsea
Newcastle,0 - 1,35,2021/2022,Liverpool
Aston Villa,2 - 0,35,2021/2022,Norwich
Southampton,1 - 2,35,2021/2022,Crystal Palace
Watford,1 - 2,35,2021/2022,Burnley
Wolves,0 - 3,35,2021/2022,Brighton
Leeds,0 - 4,35,2021/2022,Man City
Everton,1 - 0,35,2021/2022,Chelsea
Tottenham,3 - 1,35,2021/2022,Leicester
West Ham,1 - 2,35,2021/2022,Arsenal
Man United,3 - 0,35,2021/2022,Brentford
Brentford,3 - 0,36,2021/2022,Southampton
Burnley,1 - 3,36,2021/2022,Aston Villa
Chelsea,2 - 2,36,2021/2022,Wolves
Crystal Palace,1 - 0,36,2021/2022,Watford
Brighton,4 - 0,36,2021/2022,Man United
Liverpool,1 - 1,36,2021/2022,Tottenham
Arsenal,2 - 1,36,2021/2022,Leeds
Leicester,1 - 2,36,2021/2022,Everton
Norwich,0 - 4,36,2021/2022,West Ham
Man City,5 - 0,36,2021/2022,Newcastle
Aston Villa,1 - 2,33,2021/2022,Liverpool
Leeds,0 - 3,33,2021/2022,Chelsea
Leicester,3 - 0,21,2021/2022,Norwich
Watford,0 - 0,30,2021/2022,Everton
Wolves,1 - 5,33,2021/2022,Man City
Tottenham,3 - 0,22,2021/2022,Arsenal
Tottenham,1 - 0,37,2021/2022,Burnley
Aston Villa,1 - 1,37,2021/2022,Crystal Palace
Leeds,1 - 1,37,2021/2022,Brighton
Watford,1 - 5,37,2021/2022,Leicester
West Ham,2 - 2,37,2021/2022,Man City
Wolves,1 - 1,37,2021/2022,Norwich
Everton,2 - 3,37,2021/2022,Brentford
Newcastle,2 - 0,37,2021/2022,Arsenal
Southampton,1 - 2,37,2021/2022,Liverpool
Everton,3 - 2,33,2021/2022,Crystal Palace
Aston Villa,1 - 1,18,2021/2022,Burnley
Chelsea,1 - 1,27,2021/2022,Leicester
Arsenal,5 - 1,38,2021/2022,Everton
Brentford,1 - 2,38,2021/2022,Leeds
Brighton,3 - 1,38,2021/2022,West Ham
Burnley,1 - 2,38,2021/2022,Newcastle
Chelsea,2 - 1,38,2021/2022,Watford
Crystal Palace,1 - 0,38,2021/2022,Man United
Leicester,4 - 1,38,2021/2022,Southampton
Liverpool,3 - 1,38,2021/2022,Wolves
Man City,3 - 2,38,2021/2022,Aston Villa
Norwich,0 - 5,38,2021/2022,Tottenham
